NAME,B01003_001E,B19013_001E,B25077_001E,B25024_002E,B25024_003E,B25024_004E,B25024_005E,B25024_006E,B25024_007E,B25024_008E,B25024_001E,state,place
"Delevan village, New York",1312,55872,86700,369,21,32,41,64,0,9,581,36,20115
"Delhi village, New York",3172,53214,164000,458,3,127,110,78,0,39,847,36,20126
"Depauville CDP, New York",447,78190,-666666666,147,0,0,0,0,0,0,190,36,20302
"Depew village, New York",15188,65292,134400,4857,121,1276,285,209,11,17,6855,36,20313
"Deposit village, New York",1389,41250,93800,542,24,184,55,37,37,7,928,36,20346
"Dering Harbor village, New York",0,-666666666,-666666666,23,0,0,0,0,0,0,23,36,20379
"DeRuyter village, New York",386,46806,87000,111,0,19,11,6,0,29,203,36,20390
"De Witt CDP, New York",11138,86312,215400,2950,145,37,164,347,174,139,4304,36,20467
"Dexter village, New York",802,43293,120500,219,0,14,44,31,17,0,339,36,20500
"Dix Hills CDP, New York",24739,184580,775600,7706,169,99,55,0,0,0,8069,36,20687
"Dobbs Ferry village, New York",11511,136204,646300,1533,431,472,579,304,225,198,4068,36,20698
"Dolgeville village, New York",2402,48594,85100,653,20,206,99,0,0,47,1049,36,20731
"Dover Plains CDP, New York",1289,43125,204300,302,0,86,63,58,42,10,645,36,20841
"Downsville CDP, New York",359,-666666666,114300,173,0,24,0,0,0,0,236,36,20852
"Dresden village, New York",308,52500,98100,96,1,15,4,0,0,0,125,36,20896
"Dryden village, New York",2004,62336,192500,597,0,163,58,87,11,13,971,36,20951
"Duane Lake CDP, New York",150,148229,333800,53,0,0,0,0,0,0,53,36,20989
"Duanesburg CDP, New York",271,126518,214900,113,0,0,0,0,0,0,113,36,20995
"Dundee village, New York",2140,42019,83600,334,4,44,92,61,31,35,712,36,21050
"Dunkirk city, New York",12651,36901,71500,3851,190,1400,408,111,48,194,6363,36,21105
"Durhamville CDP, New York",677,113884,164500,183,0,12,0,14,0,0,209,36,21226
"Eagle Bay CDP, New York",28,-666666666,-666666666,230,0,0,0,0,0,0,230,36,21380
"Earlville village, New York",771,56641,97000,255,3,43,22,6,0,0,373,36,21523
"East Atlantic Beach CDP, New York",1778,133542,770600,674,0,221,21,0,0,0,916,36,21578
"East Aurora village, New York",6095,88286,281700,1844,69,260,180,258,6,3,2620,36,21589
"East Avon CDP, New York",464,-666666666,208300,150,0,0,15,0,0,0,176,36,21600
"Eastchester CDP, New York",20636,141836,635200,4350,130,368,629,290,197,691,8309,36,21809
"East Durham CDP, New York",648,62619,136300,223,0,12,18,0,23,0,354,36,21919
"East Farmingdale CDP, New York",6055,101125,458800,1364,46,182,40,41,73,18,2009,36,21985
"East Frankfort CDP, New York",422,40781,93100,175,16,0,0,0,0,0,280,36,22029
"East Glenville CDP, New York",11687,80461,227500,3411,31,20,459,571,298,30,5231,36,22084
"East Greenbush CDP, New York",6559,102522,260600,1930,89,104,138,388,29,104,2805,36,22106
"East Hampton village, New York",1062,96250,2000001,1696,35,41,0,40,0,0,1823,36,22183
"East Hampton North CDP, New York",5194,106313,838000,2394,33,59,77,66,21,37,2856,36,22200
"East Herkimer CDP, New York",831,76875,103100,327,0,45,6,0,0,0,415,36,22238
"East Hills village, New York",7231,250001,1212000,2285,0,0,0,0,0,0,2296,36,22260
"East Islip CDP, New York",12596,126313,457200,4025,47,281,18,63,56,25,4840,36,22315
"East Ithaca CDP, New York",2281,76250,238800,470,194,127,63,49,17,0,1149,36,22326
"East Kingston CDP, New York",308,58864,178100,67,0,5,26,0,0,0,98,36,22370
"East Marion CDP, New York",1331,90048,731600,1105,19,12,26,48,5,6,1221,36,22447
"East Massapequa CDP, New York",19013,109419,496300,6011,394,160,173,153,291,69,7335,36,22480
"East Meadow CDP, New York",38078,126079,505400,10105,373,382,90,184,226,136,12184,36,22502
"East Moriches CDP, New York",5124,117844,473500,1675,16,78,47,53,192,46,2144,36,22546
"East Nassau village, New York",440,54625,158200,230,0,4,18,0,0,0,259,36,22557
"East Northport CDP, New York",20281,136818,515100,6943,182,307,59,9,10,0,7687,36,22612
"East Norwich CDP, New York",2871,173333,659700,963,0,9,0,0,0,0,979,36,22623
"East Patchogue CDP, New York",21830,94821,367400,6073,156,497,307,273,650,175,8543,36,22733
"Eastport CDP, New York",2095,121250,493300,635,132,0,0,0,0,0,767,36,22810
"East Quogue CDP, New York",5069,88750,654900,2777,0,22,37,34,0,50,2966,36,22832
